Id;Degree deviation;Degree;Neighbors;Connective redudancy
373;15.882;52;52;0
374;4.486;15;15;0
375;4.14;14;13;0.071
376;3.87;15;15;0
377;3.796;13;13;0
378;1.355;6;6;0
379;9.953;44;43;0.023
380;5.901;18;17;0.056
381;3.452;12;12;0
382;4.495;16;15;0.062
383;4.14;14;14;0
384;5.897;26;26;0
386;9.662;33;32;0.03
387;1.807;8;8;0
388;7.972;29;29;0
389;1.457;6;5;0.167
390;3.207;14;14;0
391;0.728;3;3;0
392;1.385;5;5;0
393;22.52;70;70;0
394;1.385;5;5;0
395;1.726;6;6;0
396;5.525;18;18;0
397;4.836;17;17;0
400;2.433;9;9;0
401;3.817;14;14;0
410;1.161;5;4;0.2
411;5.873;19;19;0
412;2.433;9;8;0.111
413;7.298;27;26;0.037
414;2.499;11;11;0
415;1.355;6;6;0
416;3.338;14;14;0
417;13.243;39;39;0
418;13.809;48;47;0.021
419;4.836;17;16;0.059
420;30.242;91;90;0.011
421;5.318;21;20;0.048
422;4.101;18;18;0
423;9.051;40;40;0
424;0.728;3;3;0
425;22.171;69;68;0.014
426;10.753;33;33;0
427;1.604;7;7;0
429;9.662;33;32;0.03
430;2.1;8;8;0
431;1.773;7;7;0
432;1.161;5;4;0.2
434;2.1;8;8;0
435;21.507;66;66;0
436;1.385;5;5;0
439;4.14;14;13;0.071
440;7.946;28;28;0
441;2.416;8;8;0
453;5.202;19;18;0.053
454;2.77;10;10;0
455;6.925;25;24;0.04
456;1.161;5;5;0
457;0.904;4;4;0
458;4.199;16;16;0
459;4.811;21;21;0
460;13.833;44;44;0
461;1.355;6;6;0
462;1.161;5;5;0
463;4.495;16;15;0.062
464;0.728;3;3;0
465;11.732;40;39;0.025
466;22.102;72;72;0
467;6.562;23;23;0
469;6.22;20;20;0
470;4.853;15;15;0
471;6.978;29;29;0
472;2.914;12;11;0.083
473;1.05;4;4;0
474;6.556;22;21;0.045
475;1.355;6;6;0
476;3.796;13;13;0
477;2.05;9;8;0.111
478;1.726;6;6;0
479;2.77;10;8;0.2
480;6.86;30;29;0.033
481;2.914;12;12;0
482;1.457;6;5;0.167
483;2.05;9;9;0
484;2.259;10;10;0
485;51.974;152;150;0.013
486;12.197;54;53;0.019
487;7.248;24;24;0
488;11.801;36;36;0
489;0.728;3;3;0
490;8.631;30;29;0.033
491;1.604;7;7;0
492;1.884;8;8;0
493;3.11;11;10;0.091
494;22.244;67;67;0
495;7.265;23;23;0
497;2.499;10;10;0
498;3.796;13;13;0
499;1.726;6;6;0
500;5.249;20;20;0
501;6.916;22;21;0.045
502;3.482;15;15;0
503;7.298;22;22;0
504;4.3;19;19;0
505;20.11;62;62;0
506;3.149;12;11;0.083
507;0.728;3;3;0
508;0.728;3;3;0
509;1.05;4;4;0
510;1.457;6;6;0
511;4.486;15;15;0
512;3.807;12;12;0
513;0.728;3;3;0
514;0.728;3;3;0
515;1.385;5;5;0
516;1.385;5;5;0
518;13.512;42;41;0.024
519;1.385;5;5;0
520;0.904;4;4;0
521;0.452;2;2;0
522;23.389;68;68;0
524;2.416;8;8;0
525;4.853;15;15;0
526;0.728;3;3;0
527;0.452;2;2;0
528;20.24;59;59;0
530;10.445;31;31;0
531;0.452;2;2;0
532;3.11;11;11;0
533;1.604;7;7;0
534;18.442;55;55;0
535;28.288;82;81;0.012
536;0.728;3;3;0
537;14.643;43;42;0.023
538;1.05;4;4;0
539;2.77;10;10;0
540;4.366;19;19;0
541;1.604;7;7;0
542;2.259;10;9;0.1
543;0.728;3;3;0
544;1.161;5;5;0
545;3.149;12;11;0.083
546;0.904;4;4;0
547;0.728;3;3;0
548;0.904;4;3;0.25
549;4.832;16;15;0.062
550;2.259;10;10;0
551;2.77;10;10;0
554;9.357;29;28;0.034
556;0.904;4;4;0
557;5.083;22;22;0
560;1.726;6;6;0
574;1.726;6;6;0
575;4.155;13;13;0
576;9.046;27;27;0
577;6.599;20;20;0
578;0.728;3;3;0
579;0.728;3;3;0
580;5.551;17;17;0
581;5.202;16;16;0
582;0.904;4;4;0
583;12.117;53;51;0.038
584;46.027;135;135;0
585;10.404;32;32;0
586;14.643;43;43;0
587;1.385;5;5;0
588;3.11;10;9;0.1
589;0.904;4;4;0
590;0.728;3;3;0
591;2.05;9;9;0
592;2.07;7;7;0
593;3.807;12;12;0
594;5.202;19;18;0.053
595;5.525;18;18;0
596;3.796;13;13;0
597;7.248;25;25;0
598;2.499;10;10;0
599;3.452;12;12;0
600;2.821;11;11;0
601;2.77;10;10;0
602;2.185;9;9;0
603;2.433;9;9;0
604;3.817;14;14;0
605;2.821;11;11;0
606;3.149;12;12;0
607;1.726;6;6;0
608;3.546;14;14;0
609;1.355;6;6;0
610;1.773;7;6;0.143
611;1.161;5;5;0
612;5.178;17;17;0
613;4.549;20;20;0
614;1.385;5;5;0
616;1.05;4;4;0
617;1.457;6;5;0.167
618;1.884;8;8;0
619;3.642;15;14;0.067
620;15.257;47;46;0.021
621;2.185;9;9;0
622;5.525;24;24;0
623;14.293;42;41;0.024
624;0.728;3;3;0
625;3.399;15;15;0
626;6.905;24;24;0
627;8.659;27;27;0
628;0.728;3;3;0
629;0.728;3;3;0
630;4.155;13;13;0
631;1.385;5;5;0
632;12.117;38;38;0
633;1.773;7;6;0.143
634;3.11;11;10;0.091
635;5.873;19;18;0.053
636;2.185;9;8;0.111
637;9.357;29;29;0
638;2.07;7;7;0
639;11.42;36;35;0.028
640;23.511;75;74;0.013
641;1.161;5;4;0.2
642;1.05;4;3;0.25
644;3.452;12;11;0.083
645;1.884;8;8;0
646;5.178;17;16;0.059
647;2.763;9;9;0
648;2.321;10;10;0
649;2.499;10;10;0
650;7.404;31;30;0.032
651;2.763;9;9;0
652;14.293;42;42;0
653;1.773;7;7;0
654;6.568;21;20;0.048
655;2.711;12;12;0
656;0.904;4;4;0
657;3.807;12;12;0
658;6.138;25;24;0.04
659;4.504;14;14;0
660;2.07;7;7;0
662;4.504;14;14;0
663;0.728;3;3;0
664;5.522;19;19;0
665;1.773;7;7;0
666;4.486;15;15;0
668;5.873;19;18;0.053
669;7.248;24;24;0
680;5.249;20;19;0.05
681;2.433;9;8;0.111
682;2.763;12;12;0
683;2.433;9;9;0
684;2.433;9;8;0.111
685;1.161;5;4;0.2
686;1.161;5;4;0.2
690;8.683;32;30;0.062
692;5.202;19;18;0.053
693;5.969;23;23;0
694;16.694;50;49;0.02
695;2.711;12;11;0.083
696;7.592;26;26;0
697;1.161;5;5;0
698;1.457;6;5;0.167
699;3.452;12;12;0
700;0.728;3;3;0
701;8.31;30;30;0
702;4.371;18;18;0
703;1.05;4;4;0
704;1.161;5;5;0
705;15.296;46;46;0
706;1.161;5;5;0
708;1.457;6;5;0.167
709;14.908;46;46;0
710;3.653;16;15;0.062
711;1.773;7;7;0
712;0.904;4;4;0
713;1.05;4;4;0
714;5.178;17;16;0.059
715;1.773;7;7;0
716;3.796;13;12;0.077
717;2.821;11;11;0
718;7.754;34;33;0.029
719;2.185;9;8;0.111
720;10.78;40;39;0.025
721;2.499;11;11;0
722;2.763;9;9;0
723;2.07;7;7;0
724;9.357;29;29;0
725;1.604;7;7;0
726;3.11;10;10;0
727;1.161;5;5;0
728;2.1;8;8;0
729;9.706;30;29;0.033
731;25.977;81;80;0.012
732;1.05;4;4;0
733;1.355;6;5;0.167
734;2.416;8;8;0
735;1.385;5;5;0
736;2.185;9;8;0.111
737;0.904;4;4;0
738;4.998;22;21;0.045
740;7.648;23;22;0.043
741;0.728;3;3;0
742;5.642;22;21;0.045
743;0.728;3;3;0
744;2.321;10;10;0
745;3.207;14;13;0.071
746;0.904;4;4;0
747;2.499;10;10;0
758;3.399;15;14;0.067
759;1.604;7;7;0
760;1.161;5;4;0.2
761;5.525;18;17;0.056
762;4.14;14;14;0
763;1.457;6;6;0
764;0.728;3;3;0
765;1.05;4;4;0
766;4.271;17;16;0.059
767;2.433;9;8;0.111
768;2.1;8;8;0
769;2.07;7;7;0
770;8.983;29;29;0
771;2.1;8;8;0
772;6.211;21;20;0.048
773;3.546;14;12;0.143
774;0.904;4;3;0.25
775;0.728;3;3;0
776;5.178;18;17;0.056
777;4.495;16;15;0.062
778;4.486;15;15;0
779;5.525;24;23;0.042
780;3.11;11;10;0.091
781;6.568;21;20;0.048
782;2.914;12;12;0
783;1.161;5;4;0.2
784;4.853;15;15;0
785;3.796;13;13;0
786;1.385;5;5;0
787;1.726;6;6;0
788;0.904;4;4;0
789;0.728;3;3;0
790;0.728;3;3;0
791;3.11;10;10;0
792;2.416;8;8;0
793;0.452;2;2;0
794;1.385;5;5;0
795;3.399;15;15;0
796;2.416;8;8;0
797;0.728;3;3;0
798;0.904;4;4;0
800;2.77;10;10;0
801;3.226;13;13;0
802;1.161;5;5;0
803;4.155;13;12;0.077
804;1.604;7;6;0.143
805;24.668;96;95;0.01
806;1.457;6;5;0.167
807;2.77;10;9;0.1
808;4.204;18;18;0
809;0.728;3;3;0
810;1.161;5;5;0
811;8.864;35;33;0.057
